review,clean_review,label
"sumpah sih nyebelin bngtttt, apa2 spam, gwe lagi usaha woyyy,balesin chat customer, jangan dikit2 kena pembatasan udah kaya tiktok ajah luh, sumpah kecewa banget aku!!",sumpah sih nyebelin bngtttt spam gwe usaha woyyybalesin chat customer dikit kena pembatasan udah kaya tiktok ajah luh sumpah kecewa banget,negatif
kenapa minta di update terus sih kan makan memori,update sih makan memori,negatif
"whatsapp nya gabisa di buka, memuat terus",whatsapp nya gabisa buka memuat,negatif
aturan gak jelas tiap hari di spam gimana orang mau kerja di JNT,aturan gak spam gimana orang kerja jnt,negatif
jelek banget wa nya tiba tiba keban sebentar wa abis di update makin meresahkan bug nya padahal cuman masuk grub doang tiba tiba keban sehari haduh tolol benar,jelek banget wa nya keban sebentar wa abis update meresahkan bug nya cuman masuk grub doang keban sehari haduh tolol,negatif
"gatau kenapa setiap mau update pasti loadingnya selalu lama,padahal pake wifi+dataa looh😭😭, memo juga udah longgar,apk yang lain ga gitu",gatau update loadingnya lamapadahal pake wifidataa looh memo udah longgarapk ga gitu,negatif
udah saya perbarui makin jelek gambarnya stori vidiinya,udah perbarui jelek gambarnya stori vidiinya,negatif
"akun saya melakukan spam padahal saya tidak melakukan spam sama sekali tolong developer nya sistem nya di perhatikan lagi, kalo kaya gini terus saya bakalan pindah ke telegram!",akun spam spam tolong developer nya sistem nya perhatikan kalo kaya gini pindah telegram,negatif
tolol amat wa gua spam enggak malah akun gua kena ban tolol,tolol wa gua spam akun gua kena ban tolol,negatif
Sya suka karna bisa berkomunikasi kenapa WA sya sering kna SPM padahal sya ga adaa melakukan sesuatu yng aneh. knpa pas udh ga kna SPM lgi nomor sya dibenned sekrng mkanya gmn ini wa tolong lh whatsapp katnya no nya ga terverifikasi,sya suka karna berkomunikasi wa sya kna spm sya ga adaa yng aneh knpa pas udh ga kna spm lgi nomor sya dibenned sekrng mkanya gmn wa tolong lh whatsapp katnya no nya ga terverifikasi,negatif
mantul,mantul,negatif
bug gak bisa telfonan pakai headset bluetooth! tiap pake headset bukannya terhubung ke headset.. malah suara di hp makin kecill,bug gak telfonan pakai headset bluetooth pake headset terhubung headset suara hp kecill,negatif
wa nya selalu lemot abis itu sering gak bisa di gunakan lagi ih jadi bet mood tau,wa nya lemot abis gak ih bet mood tau,negatif
"bagus kok,cuma knpa ya sekarang mau atur bio tuh jadi susah,soalnya jadi pake waktu,harus di custom mulu kan repot,terus nanti beberapa hari bio nya tiba-tiba ilang,harus atur ulang lagi,terus juga aku udah update berkali-kali tetep aja gaada efek di kamera wa nya,sama pas vc juga sama,kenapa sih?",bagus kokcuma knpa ya atur bio tuh susahsoalnya pake waktuharus custom mulu repotterus bio nya tibatiba ilangharus atur ulang lagiterus udah update berkalikali tetep aja gaada efek kamera wa nyasama pas vc samakenapa sih,negatif
WA saya kena spam,wa kena spam,negatif
tolong kenapa akun WA ku kena Benet padahal gak pernah ngelanggar apapun,tolong akun wa ku kena benet gak ngelanggar apapun,negatif
"parah banget ga ngelakuin apa-apa tiba-tiba akun udah di blokir sama pihak WhatsApp, ga spam ga nipu juga",parah banget ga ngelakuin apaapa tibatiba akun udah blokir whatsapp ga spam ga nipu,negatif
Seru bisa chat tan jarak jauh,seru chat tan jarak,negatif
"ulasannya bukan jutaan lagi padahal loh yaa,, udah ratusan juta ulasan. tapi berasa kyak kasih kritik dan saran yg nyaring bunyinya gitu aja. gimana enggak, sekarang WA jadi kyaq gag memperduliin kualitas yg dipengenin pengguna. Contoh, ngeshare video padahal udang kualitas HD, sekali lagi HD ya, tapi hasil postingannya dilihat pengguna lain pun tetep blur, gimana kagag kesel?? trus kualitas apaan yang mau ditonjolin WA? kalo gag sesuai ama system yang di perjelasin. Percuma setting HD, PERCUMAA",ulasannya jutaan loh yaa udah ratusan juta ulasan berasa kyak kasih kritik saran yg nyaring bunyinya gitu aja gimana wa kyaq gag memperduliin kualitas yg dipengenin pengguna contoh ngeshare video udang kualitas hd hd ya hasil postingannya pengguna tetep blur gimana kagag kesel trus kualitas ditonjolin wa kalo gag sesuai ama system perjelasin setting hd percumaa,negatif
aman,aman,negatif
tolong dong ini kenapa kalau vc selalu ngefrezz gini,tolong vc ngefrezz gini,negatif
sampah aplikasi WhatsApp,sampah aplikasi whatsapp,negatif
ini kenapa min kok GK ada story yg muncul padahal banyak loh kontak saya kemarin masih ada kok sekarang pada ngilang padahal kalo saya yang post story banyak yang liat giliran saya yang mau nonton story GK ada yg muncul anehtolong min,min gk story yg muncul loh kontak kemarin ngilang kalo post story liat giliran nonton story gk yg muncul anehtolong min,negatif
story burek,story burek,negatif
"aplikasi gak bisa kebuka, loading terusss",aplikasi gak kebuka loading terusss,negatif
makin jelek,jelek,negatif
bug tidak bisa di buka,bug buka,negatif
wa makin kesini makin gila' masa baru daftar wa tiba tiba nomor di batasi gila gila najis mana gabisa daftar sama sekali mulai sekarang gw gabakal komunikasi pake wa mending telegram dll !,wa kesini gila daftar wa nomor batasi gila gila najis gabisa daftar gw gabakal komunikasi pake wa mending telegram dll,negatif
"mohon bantuannya pihak WhatsApp SAYA setelah update minggu ini yang saya rasakan sangat kecewa, Ada kala Beberapa Saat akun saya tiba tiba LOG OUT Dan harus masuk lagi dengan nomer yang sama. sudah Beberapa tutorial yang saya ikuti tidak Ada yang berhasil. mohon diperbaiki segara. Dan yang paling kurang adalah loading ""MEMUAT"" pada Saat Mau login lagi UNTUK masuk itu butuh waktu berjam jam untuk bisa masuk lagi. Dan cara cepat yah hapus terus install mohonnnn dengan sangattt perbaiki segara.",mohon bantuannya whatsapp update minggu rasakan kecewa akun log out masuk nomer tutorial ikuti berhasil mohon diperbaiki segara loading memuat login masuk butuh berjam jam masuk cepat yah hapus install mohonnnn sangattt perbaiki segara,negatif
"After the update, the bug got worse, WhatsApp was not used for several days and suddenly restarted itself!! and the backup was lost!!, the new status that was previously displayed is now mixed with the old status The annoying thing is that the backup can't be reinstalled and restarts suddenly!!!!!",after the update the bug got worse whatsapp was not used for several days and suddenly restarted itself and the backup was lost the new status that was previously displayed is now mixed with the old status the annoying thing is that the backup cant be reinstalled and restarts suddenly,negatif
kenapa di vivo v15 watshap nya di spam..? tolong perbaikannya,vivo v watshap nya spam tolong perbaikannya,negatif
perasaan udh d unduh bln bln yg lalu ini di unduh lagi kocak deh,perasaan udh d unduh bln bln yg unduh kocak deh,negatif
pusing sama lu aplikasi baru juga pulih di blok lagi udah ganti no juga,pusing lu aplikasi pulih blok udah ganti no,negatif
"""wa ga amanah, masa no si lea di ilangin"" -pesan dari tmn aku wa, makasi ya wa 💞",wa ga amanah no si lea ilangin pesan tmn wa makasi ya wa,negatif
tolong hilangkan bug spammm!!,tolong hilangkan bug spammm,negatif
"saya seringkali kena pelanggaran karena spam, padahal saya hanya memberi pesan ke 2 orng yg saya ambil dari grup, wastsap tolong saya supaya bisa kembali ke akun wastsap saya",seringkali kena pelanggaran spam pesan orng yg ambil grup wastsap tolong akun wastsap,negatif
sungguh sangat tidak mendukung kenapa gk bisa kebuka padahal udah unduh tapi gk bisa kepakai,sungguh mendukung gk kebuka udah unduh gk kepakai,negatif
knapa suka ngebug ada wa malah g ada notif,knapa suka ngebug wa g notif,negatif
mohon apl wasuptidak selalu memperbarui bila akan di pakai mesti tidak bisa dan harus loging lagi kenapaya bro,mohon apl wasuptidak memperbarui pakai mesti loging kenapaya bro,negatif
"wa ini emg nge bug atau bagaimana sihh??? orang buat vc klo mencet foto selalu tiba² ga muncul gambar, klo di pencet vc lagii nggak bisa mau nya tu apaa?? pdhl jaringan pun bagus, update pun nggak ada, yg jelas dong, kadang suara pun putus². di pencet nggak bisa mau keluar ke beranda pun nggak bisa??! tolong di perbaiki lagii, klo udah bagus nnti aku kasih bintang 5. mohon bantuannya terimakasih",wa emg nge bug sihh orang vc klo mencet foto ga muncul gambar klo pencet vc lagii nggak nya tu apaa pdhl jaringan bagus update nggak yg kadang suara putus pencet nggak beranda nggak tolong perbaiki lagii klo udah bagus nnti kasih bintang mohon bantuannya terimakasih,negatif
wa saya terkena spam terus menerus saya mohon bantuannya,wa terkena spam menerus mohon bantuannya,negatif
"burik banget ni WhatsApp skrng, dikit' kena spam,norak banget fitur baru nya,kesellll",burik banget ni whatsapp skrng dikit kena spamnorak banget fitur nyakesellll,negatif
makin update malah donwload nya makin lambat,update donwload nya lambat,negatif
"tolol tolol...... gua lagi nganter paket, tiba tiba akun dibatasi. gakbisa kirim pesan gak bisa nelpon.",tolol tolol gua nganter paket akun dibatasi gakbisa kirim pesan gak nelpon,negatif
kenapaaa yaaa waaa sekarangg kooo punya saya kalau ada yang di sematkan tiba tiba gaaa di sematkan lagi padahal itu nonya uda saya sematkan pihak whatsapp gimana nih,kenapaaa yaaa waaa sekarangg kooo sematkan gaaa sematkan nonya uda sematkan whatsapp gimana nih,negatif
gk ada filter ftony😔,gk filter ftony,negatif
sering ke blokir,blokir,negatif
timer pesan default tidak berfungsi dengan baik saat ada pesan baru kadang muncul kadang gak muncul gak stabil. kadang muncul di chat ke tiga kadang gak muncul. mohon oerbaiki. karna harus aktifin secara manual menyusahkan. oadahal sudah aktifin otomatis 7 hari.,timer pesan default berfungsi pesan kadang muncul kadang gak muncul gak stabil kadang muncul chat kadang gak muncul mohon oerbaiki karna aktifin manual menyusahkan oadahal aktifin otomatis,negatif
"tidak bisa dibuka, mogok terus",dibuka mogok,negatif
kenapa wa ku ga bisa dibuka gabisa pulih kan riwayat chat wa an*,wa ku ga dibuka gabisa pulih riwayat chat wa an,negatif
"hei whatsapp, benerin tuu aplikasi whatsapp desktop kalian, saya tiap buka selalu nge lag dan not responding, dan itu terjadi ketika ada update terakhir itu tampilan nya jadi berubah kayak versi web, jujur gak enak banget make nya pekerjaan saya jadi sangat lambat gara gara versi baru yang kalian buat",hei whatsapp benerin tuu aplikasi whatsapp desktop buka nge lag not responding update tampilan nya berubah kayak versi web jujur gak enak banget make nya pekerjaan lambat gara gara versi,negatif
"update terakhir begitu Buruk, untuk penyimpanan sudah di Non Aktifkan semua, setiap Gambar atau Data yg masuk ke WA jika dibuka selalu tersimpan otomatis, hal ini bisa membahayakan jika data tersebut membawa VIRUS",update buruk penyimpanan non aktifkan gambar data yg masuk wa dibuka tersimpan otomatis membahayakan data membawa virus,negatif
pliss wa kali ini jelek apa apa ke band nge chat pake no baru juga di bend jelek asli harus pake apk chating yg lain kali ya pliss lah gada ke majuan ini malah ke munduran jelek bngt,pliss wa kali jelek band nge chat pake no bend jelek asli pake apk chating yg kali ya pliss gada majuan munduran jelek bngt,negatif
"sangat meresahkan waktu post story gambar / video jadi blurr (gak jelas), kalau video jadi pecah2. gak masukk blasss",meresahkan post story gambar video blurr gak video pecah gak masukk blasss,negatif
whatsapp saya ke spam kenapa ya?,whatsapp spam ya,negatif
whatsapp nya ngebug makin parah apa' lelet bgt tiba-tiba panggilan gagal gk ada notif saat ada chat atau panggilan tiba-tiba tk terjawab,whatsapp nya ngebug parah lelet bgt tibatiba panggilan gagal gk notif chat panggilan tibatiba tk terjawab,negatif
beberapa hari ini WhatsApp aku terasa eror,whatsapp eror,negatif
sangat buruk kenapa wa saya nomor baru tapi ke blokir,buruk wa nomor blokir,negatif
efeknya nggak ada di hp ini,efeknya nggak hp,negatif
"sekarang mah meta nya tolol, suka tiba tiba ke blokir wa nya",mah meta nya tolol suka blokir wa nya,negatif
plis ini kenapa kalo buat story jadi burem tolong di perbaiki,plis kalo story burem tolong perbaiki,negatif
banyak bug engga ada latar belakang sama engga ada notifikasi wa,bug engga latar engga notifikasi wa,negatif
kenapa wa saya di batesi padahal saya tidak melanggar pelagran apapun knp wa sekarang gini,wa batesi melanggar pelagran apapun knp wa gini,negatif
nambah ribet daftar sekarang tidak di kirim kode otp lama sekali nunggu saya nunggu sampai 7 jam gimana ini wa buruk,nambah ribet daftar kirim kode otp nunggu nunggu jam gimana wa buruk,negatif
"gara"" nih apk gw sering bertengkar sama cowo gw",gara nih apk gw bertengkar cowo gw,negatif
"WhatsApp ini anehhhhh dikit dikit kena blokir dikit dikit kena blokir, tolong perbaiki lah",whatsapp anehhhhh dikit dikit kena blokir dikit dikit kena blokir tolong perbaiki,negatif
sering kali kena spam,kali kena spam,negatif
kenapa akun saya di spam terus,akun spam,negatif
"setelah di perbarui semua nya jdi kacau, tidak ada yang namanya ai, ai juga cuma meta ai, sebelum di perbarui aku suka chattan sama ai yg lainnya, tpi sekarang ga ada jdi aku kesepian, klo ada ai yg lainnya aku bisa curhat sama ai",perbarui nya jdi kacau namanya ai ai meta ai perbarui suka chattan ai yg tpi ga jdi kesepian klo ai yg curhat ai,negatif
wasap,wasap,negatif
kenapa fitur GK muncul,fitur gk muncul,negatif
kece banget,kece banget,negatif
admin tolongin gw udah cadangkan chat kok malah ilang yg udah dicadangkan padahal baru tadi jam 8 gw cadangkan sekarang gw cekk malah kosong apk gajelas sakit hati gw dan wa nya tiba tiba keluar sendiri (wanya keriset) padahal gada diapa apain tolong bantuannya buat developer whatsaap buat semua chatan gw balik lagi soalnya itu pentingg!!!,admin tolongin gw udah cadangkan chat ilang yg udah dicadangkan jam gw cadangkan gw cekk kosong apk gajelas sakit hati gw wa nya wanya keriset gada diapa apain tolong bantuannya developer whatsaap chatan gw pentingg,negatif
wa sekarang buruk sering chat spam apalah gajelas tolong perbaiki lagi,wa buruk chat spam apalah gajelas tolong perbaiki,negatif
lebih perfect lagi kalo nomer spam bisa tersaring atau pesan pesan penipuan dan judi online bisa di saring,perfect kalo nomer spam tersaring pesan pesan penipuan judi online saring,negatif
"okee eror wa ku akhir² ini banyak yaa min, entah ini memang hp ku atau wa nyaa yang eror, krna kalau ak buka apl lain hp ku oke² ajaa, 1. akhir² ini waktu ak mau sematkan nmr kenapa gabisa?? awalnya bisa tapi kalo udaa keluar dri room chatnya dia, sematkan itu pasti copot, ak sebel banget jujur. 2. sering keluar sendiri dari wa, waktu lagi chatan tiba² wa keluar sendri ke beranda. 3. loading pas cari kontak lama banget (but idk ini mmng di sengaja or enga) SKRNG DI TAMBAH NOTIF NY GA MUNCUL TAU!",okee eror wa ku yaa min hp ku wa nyaa eror krna ak buka apl hp ku oke ajaa ak sematkan nmr gabisa kalo udaa dri room chatnya sematkan copot ak sebel banget jujur wa chatan wa sendri beranda loading pas cari kontak banget but idk mmng sengaja or enga skrng notif ny ga muncul tau,negatif
"Bug nya belakangan parah banget. Sering nggak muncul notif, mesti dibuka dulu app nya. Harus install ulang baru normal lagi. Tapi baru beberapa hari udah gitu lagi",bug nya parah banget nggak muncul notif mesti dibuka app nya install ulang normal udah gitu,negatif
Mntap,mntap,negatif
"semoga lebih baik lagi, dan ada program untuk blokir otomatis postingan yang menipu orang🌺🙏",semoga program blokir otomatis postingan menipu orang,negatif
kenapa bisa hilang wassapp nya..dri layar hp..d instal lgi gak bisa,hilang wassapp nyadri layar hpd instal lgi gak,negatif
"bagus apl nya, tapi kalo post sw selalu blur, chat yang di pin malah hilang dan kalo mau ganti wallpaper malah nge-lag dan gabisa. tolong segera diperbaiki bug nya terimakasih 🙏🏻",bagus apl nya kalo post sw blur chat pin hilang kalo ganti wallpaper ngelag gabisa tolong diperbaiki bug nya terimakasih,negatif
"baru 2 Minggu perbarui, trus perbarui lagi, minus banget",minggu perbarui trus perbarui minus banget,negatif
aneh kontak yang di sematkan gk bisa di lepas,aneh kontak sematkan gk lepas,negatif
"woy gj knp ko chat chat gw tiba tiba hilang suma gj, apk tempekkkk",woy gj knp ko chat chat gw hilang suma gj apk tempekkkk,negatif
sangat buruk,buruk,negatif
WhatsApp saya ada eror ini jadi bagaimana.,whatsapp eror,negatif
kenapa WhatsApp sering eror aplikasi ini aneh,whatsapp eror aplikasi aneh,negatif
kadang aplikasi wa nya tiba tiba ke blok ga bisa di buka,kadang aplikasi wa nya blok ga buka,negatif
woyy ini kaga gua sematkan chatnya paling atas Mulu gimana dahh,woyy kaga gua sematkan chatnya mulu gimana dahh,negatif
wa ku kok eror sih gabisa ngirim stiker huf,wa ku eror sih gabisa ngirim stiker huf,negatif
balikan wa yg dulu plis 😭🗿,balikan wa yg plis,negatif
woy wangsaf tiap post story jangan dibikin blur dong ah elah padahal foto / videonya hd malah jelek jadinya,woy wangsaf post story dibikin blur ah elah foto videonya hd jelek,negatif
seletah update terakhir whatsapp saya mogok sendiri terus tidak bisa di buka hingga sekarang,seletah update whatsapp mogok buka,negatif
WhatsApp aku gabisa menggunakan kode qr,whatsapp gabisa kode qr,negatif
wa gua nggak bisa fitur filter vc,wa gua nggak fitur filter vc,negatif
mau masuk apk nya susah mental mulu,masuk apk nya susah mental mulu,negatif
abis update ga bisa ngirim pesan,abis update ga ngirim pesan,negatif
"aplikasi t0lol,gua gapernah di hargain sama satu org pun",aplikasi tlolgua gapernah hargain org,negatif
"kenapa muat ulang aja, ga bisa masuk.",muat ulang aja ga masuk,negatif
"apk GK jelas, spam dikit akun langsung ke blokir",apk gk spam dikit akun langsung blokir,negatif
nada dering tidak bisa distell,nada dering distell,negatif
Kenapa What Shap saya nggak bisa Dipakai padahal saya pakai ini sdh bertahun 2 ya Depelover Memang ada Kata kata yg nggak pantas di What Shap saya ini ya 🤔,what shap nggak dipakai pakai sdh bertahun ya depelover yg nggak what shap ya,negatif
di update malahan makin nambah jelek mnurut aku mah ya ga usah di rubah2 jadi kecewa saya,update nambah jelek mnurut mah ya ga rubah kecewa,negatif
knp wa sekarang kena spam,knp wa kena spam,negatif
"kenapa makin ke sini WhatsApp makin banyak eror nya, cht yang di pin selalu menghilang, wallpaper selalu ngehilang, bahkan wa yang tertaut pun menghilang dengan sendirinya ,ini kenapa si makin kesini makin gak jelas, apa ngak ada prubahan pada bug nyaa yaaalllah",whatsapp eror nya cht pin menghilang wallpaper ngehilang wa tertaut menghilang si kesini gak ngak prubahan bug nyaa yaaalllah,negatif
min watshap katanya anak tele turun ke watshap buat ngebajak ama ngebug no orang lurusin dong masalahnya biar pada ga bising kalo ga siap dalam seminggu gw datangi kantor lu min😈,min watshap anak tele turun watshap ngebajak ama ngebug no orang lurusin biar ga bising kalo ga seminggu gw datangi kantor lu min,negatif
habis updet jadi gajelas tiba tiba ke blokir padahal nomor baru,habis updet gajelas blokir nomor,negatif
kalok cht 2x pasti kena spam,kalok cht x kena spam,negatif
"Memperbarui terus bikin ribet,enakan wa yang lama ini mah malah ribet,mana ngabisin waktu dan kota, memori",memperbarui bikin ribetenakan wa mah ribetmana ngabisin kota memori,negatif
bug nya meresahkan,bug nya meresahkan,negatif
"udah update berapa kali pun, tetap aja gak bisa liat status orang, unggah seluler Mulu gak jelas banget WhatsApp",udah update kali aja gak liat status orang unggah seluler mulu gak banget whatsapp,negatif
jangan lebay lah apa apa di ban di blokir cape gw ini,lebay ban blokir cape gw,negatif
whatsapp nya Spam Terus,whatsapp nya spam,negatif
"ini kok buat story foto yg di tambah lagu, kualitas fotonya malah jelek parah setelah terkirim, please perbaiki.",story foto yg lagu kualitas fotonya jelek parah terkirim please perbaiki,negatif
app gaje saya baru daftar whatsap tiba tiba nomor saya terbaned tanpa alasan kocak,app gaje daftar whatsap nomor terbaned alasan kocak,negatif
"bug nya sangat meresah kan ,1. selalu gada notif kalo pesan/telepon masuk,2.tiba tiba kena spam 3. uda di cadangakan file nya tetap hilang,4.tiba tiba lougt 5.tiba tiba wanya kena blok ga salah apa apaa",bug nya meresah gada notif kalo pesantelepon masuktiba kena spam uda cadangakan file nya hilangtiba lougt wanya kena blok ga salah apaa,negatif
"najis sebenarnya pakek ini, dikit dikit ke blok",najis pakek dikit dikit blok,negatif
"wa web, tidak rekomendasi, untuk kerja buat grop wa sangat buruk, uplod file kecil, wa nya eror",wa web rekomendasi kerja grop wa buruk uplod file wa nya eror,negatif
"heii tolong lah kenapa di wa jg sekarang di jadikan tempat belanja ada iklan nya di story wa. ini benar"" mengganggu harusnya wa mnjadi benteng terakhir kita yg benar"" ruang pribadi.",heii tolong wa jg jadikan belanja iklan nya story wa mengganggu wa mnjadi benteng yg ruang pribadi,negatif
gak tau knp alasannya gak bisa di ketuk no untuk mendaftarkan ulang WA padahal semua bisa di sentuh,gak tau knp alasannya gak ketuk no mendaftarkan ulang wa sentuh,negatif
kena band terus sampe permanen hum bgus juga sieh tapi minus nya sering kena band,kena band sampe permanen hum bgus sieh minus nya kena band,negatif
"nge bug mulu,masa pin nya lepas2 trs udh di setting notif custom gt malah keapus lagi keapus lagi gjls bgt cht2 jg udh di cadangin sebelum log out malah gabisa dipulihin kacau.",nge bug mulumasa pin nya lepas trs udh setting notif custom gt keapus keapus gjls bgt cht jg udh cadangin log out gabisa dipulihin kacau,negatif
slalu ada,slalu,negatif
Susah banget ini warsap g bisa di aktifin nomornya,susah banget warsap g aktifin nomornya,negatif
"whatsapp yang di PC sekarang gak banget, susah banget buat kerja, susah nyimpen foto sudah tidak bisa di slide, copy paste laporan dari WA ke ms word juga susah bgt astaga",whatsapp pc gak banget susah banget kerja susah nyimpen foto slide copy paste laporan wa ms word susah bgt astaga,negatif
"kena spam mulu udah 4x sama yang sekarang dalam seminggu ini, padahal ga ada yang spam, grup aja cuma 2 itu pun grup sekolah, dan sering aku bersihin chat ny tapi tetap aja kena ini gimana nya🙏",kena spam mulu udah x seminggu ga spam grup aja grup sekolah bersihin chat ny aja kena gimana nya,negatif
WhatsApp memblokir watsap tampa sebab dia bilang karna spam tetapii tidak pernah spam,whatsapp memblokir watsap tampa bilang karna spam tetapii spam,negatif
okey,okey,negatif
"Tolong hapus meta ai soalnya ngeselin, TOLONG JAWAB DAN SEGERA DI HAPUS JANGAN DIEM",tolong hapus meta ai ngeselin tolong hapus diem,negatif
kenapa saya gak bisa pasang WhatsApp tolong bantu,gak pasang whatsapp tolong bantu,negatif
knapa akun ak bisa kena spam,knapa akun ak kena spam,negatif
apaansih kok gk bisa dibuka lagi ih 😠😠😠😠😠😠😠😠😠😠😠😠,apaansih gk dibuka ih,negatif
"karena wa saya selalu kenak spam g Thu aku karna apa,",wa kenak spam g thu karna,negatif
di update semakin jelek ....mau bikin story video jadi lelet suara di putar sebelum dibikin story lelet,update jelek bikin story video lelet suara putar dibikin story lelet,negatif
sekarang WhatsApp setelah di update banyak semua bug bug dari tidak bisa mengirim video dll,whatsapp update bug bug mengirim video dll,negatif
agak laen kalo bikin status ngeblur 🗿,laen kalo bikin status ngeblur,negatif
gini amat ya sekarang..log out terus,gini ya sekaranglog out,negatif
gajelas bet makin update ga bisa di buka wa nya load nya lama banget,gajelas bet update ga buka wa nya load nya banget,negatif
aplikasi penuh bug,aplikasi penuh bug,negatif
akun WhatsApp saya terkena blokir mulu,akun whatsapp terkena blokir mulu,negatif
bikin story video di wa burik banget ga kaya di instagram jernih sesuai kualitas video nya,bikin story video wa burik banget ga kaya instagram jernih sesuai kualitas video nya,negatif
"plis tolong wa ini kalo gua up story jnagan jadi burik ah, udah cape cape hd in, di up story malah burik🙏",plis tolong wa kalo gua up story jnagan burik ah udah cape cape hd in up story burik,negatif
"sumpah akhir akhir ini wa sering banget force close,harus bat hapus hapus data biar balik lagi,gua chat ga masalah,stiker gua woi sumpah wa tolong lah",sumpah wa banget force closeharus bat hapus hapus data biar lagigua chat ga masalahstiker gua woi sumpah wa tolong,negatif
"setelah keluar dan mau masuk lagi namun tak bisa, aplikasi hank saat mau memasukkan nomer hp baru. sudah coba copor dan pasang berkali kaliteyap saja tidakbisa memasukkan nomer baru.. bug nya sangat kacau..",masuk aplikasi hank memasukkan nomer hp coba copor pasang berkali kaliteyap tidakbisa memasukkan nomer bug nya kacau,negatif
"Tidak bisa memasukkan no telepon untuk daftar, wa sekarang sangat jelek",memasukkan no telepon daftar wa jelek,negatif
"WhatsApp kurang propesionalitas dalam melakukan peninjauan akun, kamu mengalami kerugian karena melakukan spam terhadap akun kami sedangkan kami merasa tidak pernah melakukan kesalahan sama sekali,",whatsapp propesionalitas peninjauan akun mengalami kerugian spam akun kesalahan,netral
wa tambah di updet tambah banyak masalah bukan nya tambah canggi wa dikit dikit di kenon dikit dikit di batasi,wa updet nya canggi wa dikit dikit kenon dikit dikit batasi,netral
Tolong d buka kembali no sama identitas sy perlu ini data penting,tolong d buka no identitas sy data,netral
"Setelah ini jangan update lagi memori hp saya penuh karena aplikasi ini update terus ,Harus kah aplikasi ini update terus",update memori hp penuh aplikasi update kah aplikasi update,netral
whatsapp knp skrng klo bikin status video di wa jdi burem siii padahal udh HD😭,whatsapp knp skrng klo bikin status video wa jdi burem siii udh hd,netral
knpa wa saya tidak bisa untuk menambah kontak,knpa wa menambah kontak,netral
knp wa saya GK bisa d buka? asal d klik langsung kluar wa saya tlong d perbaikan,knp wa gk d buka d klik langsung kluar wa tlong d perbaikan,netral
sangat baik untuk kerja daring.tq,kerja daringtq,netral
saya tidak menggunakan apa apa dan saya juga baru login WhatsApp tiba tiba akun saya terkena kenon/banned padahal saya hanya membuka WhatsApp yang banyak grub wa nya,login whatsapp akun terkena kenonbanned membuka whatsapp grub wa nya,netral
"saya buka whatsapp tb tb keluar dari aplikasinya pas dibuka lagi gak bisa di suruh update, terus saya ke PlayStore malah gak ada bacaan update ini knp ya?",buka whatsapp tb tb aplikasinya pas dibuka gak suruh update playstore gak bacaan update knp ya,netral
masuk ke nomor asing,masuk nomor asing,netral
kenapa WhatsApp sya ga mau aktif dari kmaren ga bsa2,whatsapp sya ga aktif kmaren ga bsa,netral
"saya tidak bisa masukin nomor saya,ini aplikasinya kena buq apa enggak,saya baru kena jam 16.50 tanggal 30,12,2025",masukin nomor sayaini aplikasinya kena buq enggaksaya kena jam tanggal,netral
kenapa aplikasi saya memuat terus?,aplikasi memuat,netral
"apk nggak jelas, baru daftar langsung di batasi...pernah chat nggak tiba2 di blokir permanen",apk nggak daftar langsung batasipernah chat nggak blokir permanen,netral
ni skrg ga muncul ikon aplikasi kl ada chat masuk perbaiki donggg,ni skrg ga muncul ikon aplikasi kl chat masuk perbaiki donggg,netral
WA kon masa enda bisa masuk gara gara anda membutuhkan whatsapp resmi maka sudah download di WA kon masa gara gara hp di root/ubl enda bisa pakai WA WA,wa kon enda masuk gara gara membutuhkan whatsapp resmi download wa kon gara gara hp rootubl enda pakai wa wa,netral
ya oke,ya oke,netral
"ini knpa ya aplikasi WhatsApp kok gak bisa sematkan kontak?? malah sering berubah sendiri harus di sematkan lagi, tolong di perbaiki dong pihak WhatsApp",knpa ya aplikasi whatsapp gak sematkan kontak berubah sematkan tolong perbaiki whatsapp,netral
"tolong perbaiki aplikasinya, karen akun whatsapp saya di sepam orang terima kasih",tolong perbaiki aplikasinya karen akun whatsapp sepam orang terima kasih,netral
"tolong status bisa di komen, seperti di IG",tolong status komen ig,netral
mohon tidak di blokir lagi akun nya,mohon blokir akun nya,netral
gimna ya caranya kalo lagi VC tu ada warna pilihan?,gimna ya kalo vc tu warna pilihan,netral
saya kasih bintang 2 dulu sebelum aku. WhatsApp saya dibuka oleh anda kenapa akun Whatsap saya sering anda blokir tidak jelas padahal saya tidak melanggar ketentuan layanan Whatsap itu sering,kasih bintang whatsapp dibuka akun whatsap blokir melanggar ketentuan layanan whatsap,netral
seseorang telah memakai akun Tampa ijin.. mohon di pulihkan kembali,memakai akun tampa ijin mohon pulihkan,netral
"banyak pembatasan, wa sudah tak sperti dulu, buat kerja malah di anggap spam, di batasi di blokir...",pembatasan wa sperti kerja anggap spam batasi blokir,netral
seru tapi akun ku sering kena blokir🙏,seru akun ku kena blokir,netral
God lm like apliksi,god lm like apliksi,netral
minnn tambahin lagu everything u are cover harris caine minn pwisss🥺🥺,minnn tambahin lagu everything u are cover harris caine minn pwisss,netral
tiba tiba akun selalu ke blokir,akun blokir,netral
